Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
79323,44-45,23,1,0,2
79323,44-45,8,210,0,2
79323,44-45,8,220,0,2
79323,44-45,4,230,0,2
79323,48-49,14,1,0,2
79323,48-49,7,210,0,2
79323,48-49,3,241,0,2
79323,52,10,1,0,2
79323,52,5,210,0,2
79323,52,3,220,0,2
79323,53,5,1,0,2
79323,54,7,1,0,2
79323,54,6,210,0,2
79323,56,5,1,0,2
79323,56,4,210,0,2
79323,62,10,1,0,2
79323,62,6,210,0,2
79323,62,3,220,0,2
79323,72,17,1,0,2
79323,72,9,210,0,2
79323,72,5,220,0,2
79323,81,14,1,0,2
79323,81,9,210,0,2
79323,81,3,230,0,2
79323,00,166,1,147670,2
79323,00,79,210,0,2
79323,00,30,220,0,2
79323,21,22,1,0,2
79323,00,26,230,0,2
79323,00,24,241,0,2
79323,00,5,251,0,2
79323,21,7,210,0,2
79323,21,4,230,0,2
79323,21,5,241,0,2
79323,21,4,251,0,2
79323,23,16,1,0,2
79323,23,8,210,0,2
79323,23,4,230,0,2
79323,23,3,241,0,2
79323,31-33,9,1,0,2
79323,31-33,3,230,0,2
79323,31-33,3,241,0,2
79323,42,10,1,0,2
79323,42,3,210,0,2
79323,42,4,241,0,2
