,fips,relevant_naics,estab,emp,payann
0,27,11,547,2250,89821
2,27,21,85,3870,342789
4,27,22,298,8585,869900
6,27,23,16547,121893,8888135
8,27,42,7813,129187,9296000
10,27,51,2715,61705,4882177
12,27,52,9524,153836,14630032
14,27,53,7103,38532,2017855
16,27,54,16607,148090,11033560
18,27,55,1208,122831,12674878
20,27,56,7670,120863,4629032
22,27,61,1938,69610,2146154
24,27,62,17143,466357,20728299
26,27,71,3007,49487,1576958
28,27,72,12021,242594,4481699
30,27,81,15771,116583,3420759
32,27,99,79,85,1618
