Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
farmers market,"Apr 14th, 2022",farmersmarket_301688_69_20220414134828.png,301688,FRESHFARM Arlington Market,"FRESHFARM is a nonprofit based in Washington, DC, that works to create a more resilient, equitable, and sustainable food future. For 25 years, we have operated producer-only farmers markets in DC, Maryland, and Virginia. Our farmers market network is the third-largest in the country and the largest in the Mid-Atlantic region, providing economic opportunity to a network of 250 Mid-Atlantic farmers and producers and a community space to restore the vital connections in our local food systems.",FRESHFARM Markets,markets@ffm.org,,https://www.freshfarm.org/,https://www.facebook.com/freshfarmdc/,https://twitter.com/FRESHFARMDC,https://www.instagram.com/freshfarmdc/,,https://www.freshfarm.org/blog,,"1400 N Courthouse Rd, Arlington, VA 22201, USA",Virginia,Arlington,1400 North Courthouse Road,22201,-77.0840474,38.88975529999999,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Cut flowers, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Juices/non-alcoholic ciders, Mushrooms, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products"
farmers market,"Apr 15th, 2022",farmersmarket_301262_11221_20220415153505.png,301262,Dorey Park Farmers Market,"The Dorey Park Farmers Market's mission is to provide all citizens with easy access to fresh and nutritious local produce, and other high quality products produced by local farms and small businesses.  We encourage and support local growers, farmers and other producers as well as promote equitable food access, good health & nutrition, environmental stewardship and agriculture education through community outreach efforts.  We believe that these principles will ultimately build a greater community. ",Cappie Montgomery,cappie@doreyparkfarmersmarket.org,804-314-9739,www.doreyparkfarmersmarket.org,https://www.facebook.com/doreyparkfarmersmarket/?ref=bookmarks,,https://www.instagram.com/doreyfarmersmarket/,,,,"2999 Darbytown Road, Henrico, Virginia 23231",Virginia,Henrico,2999 Darbytown Road,23231,-77.405887,37.5380571,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Mushrooms, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products"
farmers market,"Apr 18th, 2022",farmersmarket_301693_69_20220414140359.png,301693,FRESHFARM Ballston Market,"FRESHFARM is a nonprofit based in Washington, DC, that works to create a more resilient, equitable, and sustainable food future. For 25 years, we have operated producer-only farmers markets in DC, Maryland, and Virginia. Our farmers market network is the third-largest in the country and the largest in the Mid-Atlantic region, providing economic opportunity to a network of 250 Mid-Atlantic farmers and producers and a community space to restore the vital connections in our local food systems.",FRESHFARM Markets,markets@ffm.org,,https://www.freshfarm.org/,https://www.facebook.com/freshfarmdc/,https://twitter.com/FRESHFARMDC,https://www.instagram.com/freshfarmdc/,,,,"901 N Taylor St Arlington, VA 22203",Virginia,Arlington,901 N Taylor St,22203,-77.1143336,38.8812448,04/07/2022 to 11/17/2022,"Fresh fruits, Fresh vegetables, Baked goods, Coffee/tea, Dairy products., Eggs, Poultry/fowl meat and products, Prepared foods"
farmers market,"Apr 18th, 2022",farmersmarket_301707_69_20220418170047.png,301707,FRESHFARM Mosaic (Sunday),"FRESHFARM is a nonprofit based in Washington, DC, that works to create a more resilient, equitable, and sustainable food future. For 25 years, we have operated producer-only farmers markets in DC, Maryland, and Virginia. Our farmers market network is the third-largest in the country and the largest in the Mid-Atlantic region, providing economic opportunity to a network of 250 Mid-Atlantic farmers and producers and a community space to restore the vital connections in our local food systems.",FRESHFARM Markets,markets@ffm.org,,https://www.freshfarm.org/,https://www.facebook.com/freshfarmdc/,https://twitter.com/FRESHFARMDC,https://www.instagram.com/freshfarmdc/,,,,"2920 District Ave, Fairfax, VA 22031, USA",Virginia,Fairfax,2920 District Avenue,22031,-77.2307258,38.8714011,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Eggs, Fish/seafood, Juices/non-alcoholic ciders, Mushrooms, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Apr 18th, 2022",farmersmarket_301710_69_20220418175231.png,301710,FRESHFARM Oakton,"FRESHFARM is a nonprofit based in Washington, DC, that works to create a more resilient, equitable, and sustainable food future. For 25 years, we have operated producer-only farmers markets in DC, Maryland, and Virginia. Our farmers market network is the third-largest in the country and the largest in the Mid-Atlantic region, providing economic opportunity to a network of 250 Mid-Atlantic farmers and producers and a community space to restore the vital connections in our local food systems.",FRESHFARM Markets,markets@ffm.org,,https://www.freshfarm.org/,https://www.facebook.com/freshfarmdc/,https://twitter.com/FRESHFARMDC,https://www.instagram.com/freshfarmdc/,,,,"2951 Chain Bridge Rd, Oakton, VA 22124, USA",Virginia,Oakton,2951 Chain Bridge Road,22124,-77.3013443,38.880203,Year-round,"Fresh fruits, Fresh vegetables, Juices/non-alcoholic ciders, Prepared foods, Red/other non-poultry meat and products"
farmers market,"Apr 18th, 2022",farmersmarket_301712_69_20220418181202.png,301712,FRESHFARM Reston,"FRESHFARM is a nonprofit based in Washington, DC, that works to create a more resilient, equitable, and sustainable food future. For 25 years, we have operated producer-only farmers markets in DC, Maryland, and Virginia. Our farmers market network is the third-largest in the country and the largest in the Mid-Atlantic region, providing economic opportunity to a network of 250 Mid-Atlantic farmers and producers and a community space to restore the vital connections in our local food systems.",FRESHFARM Markets,markets@ffm.org,,https://www.freshfarm.org/,https://www.facebook.com/freshfarmdc/,https://twitter.com/FRESHFARMDC,https://www.instagram.com/freshfarmdc/,,,,"11900 Lawyers Rd, Reston, VA 20191, USA",Virginia,Reston,11900 Lawyers Road,20191,-77.3581045,38.9242303,,
farmers market,"Aug 1st, 2020",default-farmersmarket-4-3.jpg,300483,Huguenot-Robious Farmers Market,,Bonnie Pega,bonnie@greatbiggreenhouse.com,8043201317,greatbiggreenhouse.com,Huguenot-Robious Farmers Market,,,,,,"2051 Huguenot Road, Richmond, Virginia 23236",Virginia,Richmond,2051 Huguenot Road,23236,-77.610398,37.5195160,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Crafts/woodworking items, Eggs, Fish/seafood, Fresh/dried herbs, Honey, Pet food, Poultry/fowl meat and products, Prepared foods, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Aug 23rd, 2021",default-farmersmarket-4-3.jpg,301590,Rocky Mount Farmers Market,,Paul Cauley,farmersmarket@rockymountva.org,540-488-2023,,,,,,,,"435 Franklin St, Rocky Mount, Virginia 24151",Virginia,Rocky Mount,435 Franklin St,24151,-79.888073,36.994866,April to December,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Dairy products., Eggs, Honey, Juices/non-alcoholic ciders, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Aug 7th, 2020",default-farmersmarket-4-3.jpg,301216,NOVA Central Farm Market,,Debra Moser,debrajmoser@yahoo.com,3017756402,centralfarmmarkets.com,https://www.facebook.com/CentralFarmMarkets/,@CentralFarmMkts,,,,,"543 Beulah Road, Vienna, Virginia 22180",Virginia,Vienna,543 Beulah Road,22180,-77.264712,38.915538,April to December,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Cut flowers, Dairy products., Eggs, Fish/seafood, Grains/flour, Honey, Mushrooms, Nuts, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products"
farmers market,"Feb 1st, 2021",default-farmersmarket-4-3.jpg,300469,Grandin Village Farmers Market,,Sam Lev,markets@leapforlocalfood.org,540-632-1360,www.leapforlocalfood.org/grandin,facebook.com/grandinvillagecommunitymarket,@leapforlocal,,,,,"2080 Westover Ave SW, Roanoke, Virginia 24015",Virginia,Roanoke,2080 Westover Ave SW,24015,-79.978064,37.265053,April to November,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Dry beans, Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Maple products, Mushrooms, Nursery stock, Nuts, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products"
