Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
64501,55,3,1,0,2
64501,56,12,1,0,2
64501,56,8,210,0,2
64501,61,6,1,0,2
64501,61,4,210,0,2
64501,62,49,1,0,2
64501,62,29,210,0,2
64501,62,4,220,0,2
64501,62,7,230,0,2
64501,62,7,241,0,2
64501,71,5,1,0,2
64501,71,3,210,0,2
64501,72,28,1,0,2
64501,72,9,210,0,2
64501,72,6,220,0,2
64501,72,8,230,0,2
64501,72,5,241,0,2
64501,81,46,1,0,2
64501,81,28,210,0,2
64501,81,11,220,0,2
64501,81,5,230,0,2
64501,00,345,1,218015,2
64501,00,172,210,0,2
64501,00,63,220,0,2
64501,00,55,230,0,2
64501,00,36,241,0,2
64501,00,12,242,0,2
64501,00,7,251,0,2
64501,23,34,1,0,2
64501,23,12,210,0,2
64501,23,8,220,0,2
64501,23,6,230,0,2
64501,23,7,241,0,2
64501,31-33,22,1,0,2
64501,31-33,6,210,0,2
64501,31-33,4,220,0,2
64501,31-33,5,241,0,2
64501,31-33,3,251,0,2
64501,42,22,1,0,2
64501,42,8,210,0,2
64501,42,7,220,0,2
64501,42,3,230,0,2
64501,42,3,242,0,2
64501,44-45,22,1,0,2
64501,44-45,10,210,0,2
64501,44-45,5,220,0,2
64501,44-45,5,230,0,2
64501,48-49,12,1,0,2
64501,48-49,4,210,0,2
64501,48-49,3,220,0,2
64501,48-49,3,230,0,2
64501,51,10,1,0,2
64501,51,4,210,0,2
64501,52,20,1,0,2
64501,52,12,210,0,2
64501,52,4,220,0,2
64501,53,13,1,0,2
64501,53,7,210,0,2
64501,53,4,230,0,2
64501,54,39,1,0,2
64501,54,27,210,0,2
64501,54,7,220,0,2
64501,54,5,230,0,2
