Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
farmers market,"Jan 10th, 2021",default-farmersmarket-4-3.jpg,301369,Kamuela Farmers Market,,Stacy Aurway,kamuelafarmersmarket@gmail.com,8089601493,kamuelafarmersmarket.com,https://www.facebook.com/kamuelafarmersmarket,,,,,,"67-139 Pukalani Road, Kamuela, Hawaii 96727",Hawaii,Kamuela,67-139 Pukalani Road,96727,-155.66266,20.017794,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Eggs, Fish/seafood, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Nursery stock, Nuts, Pet food, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Tofu/non-animal protein"
farmers market,"Jan 25th, 2021",default-farmersmarket-4-3.jpg,300268,Adaptations' Fresh Feast,,Maureen Datta,order.adapt@gmail.com,808-324-6600,www.adaptationsaloha.com,https://www.facebook.com/adaptationsaloha,https://twitter.com/MaureenDatta,,,,,"79-7500 Mamalahoa Highway, Unit 1, Kealakekua, Hawaii 96750",Hawaii,Kealakekua,"79-7500 Mamalahoa Highway, Unit 1",96750,-155.92365,19.5257840,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Dairy products., Eggs, Fresh/dried herbs, Honey, Mushrooms, Nuts"
farmers market,"Jan 9th, 2021",default-farmersmarket-4-3.jpg,300215,Hanalei Farmers' Market at Hale Halawai 'Ohana O Hanalei,,Tanya Nuuhiwa Gomez,farmersmarket@halehalawai.org,808-826-1011,http://halehalawai.org/,https://www.facebook.com/hanaleifarmersmarket.halehalawai/,,,,,,"55299C Kuhio Hwy , Hanalei, Hawaii 96714",Hawaii,Hanalei,55299C Kuhio Hwy,96714,-159.49920,22.201731,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Mushrooms, Nuts, Poultry/fowl meat and products, Prepared foods, Soap/body care products, Wild harvested forest products"
farmers market,"Jul 27th, 2021",default-farmersmarket-4-3.jpg,301579,Hana Farmers Market,,Kari Hagedorn,hanafarmersmarket@gmail.com,8083780084,www.hanafarmersmarket.org,HFUU Hana Chapter,,,,,,"Hana Highway, Hana, Hawaii 96713",Hawaii,Hana,Hana Highway,96713,-155.98694,20.750751,March to October,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Mushrooms, Nursery stock, Nuts, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products"
farmers market,"Jun 24th, 2021",default-farmersmarket-4-3.jpg,301544,Grove Farm Market,,Nikki Ige,nige@grovefarm.com,8086322528,https://www.grovefarm.com/grovefarmmarket,https://www.facebook.com/GroveFarmMarket/,,,,,,"4411 Kikowaena St, Lihue, Hawaii 96766",Hawaii,Lihue,4411 Kikowaena St,96766,-159.39557,21.965378,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Cut flowers, Fish/seafood, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products"
farmers market,"Mar 20th, 2023",default-farmersmarket-4-3.jpg,309666,Kaiser Permanente's Fresh Day Farmers' Market,,,,808-432-2270,http://www.kp.org/famersmarket,,,,,,,"1010 Pensacola Street Honolulu, HI 96814",Hawaii,HONOLULU,1010 PENSACOLA ST,96814,-157.84573140475248,21.30059672156182,,
farmers market,"Mar 20th, 2023",default-farmersmarket-4-3.jpg,309667,Keauhou Farmers Market,,,,,http://www.keauhoufarmersmarket.com,,,,,,,"78-6831 Alii Drive, Keauhou Shopping Center Kailua-Kona, HI 96740",Hawaii,KAILUA KONA,78-6831 ALII DR,96740,-155.96614056224922,19.57337976250685,,
farmers market,"Mar 20th, 2023",default-farmersmarket-4-3.jpg,309668,Lipoa Street Farmer's Market,,,,808-357-4564,,http://www.facebook.com/lipoamarket,,,,,,"95 Lipoa Street Suite 210 Kihei, HI 96753",Hawaii,KIHEI,95 W LIPOA ST,96753,-156.45670203167674,20.747443980309384,,
farmers market,"Mar 20th, 2023",default-farmersmarket-4-3.jpg,309669,Makawao Marketplace,,,,808-280-5516,http://makawaomarketplace.com,http://www.facebook.com/MakawaoMarketplace,,,,,,"3654 Baldwin Ave Makawao, HI 96768 We are located in Upcountry Maui on Baldwin Avenue Makawao town. Street parking on Baldwin and public parking lot on Makawao Avenue.",Hawaii,MAKAWAO,3654 BALDWIN AVE,96768,-156.31144255356344,20.855321714539134,,
farmers market,"Mar 20th, 2023",default-farmersmarket-4-3.jpg,309670,Waimea Town Market at Parker School,,,,808-938-2897,,,,,,,,"65-1224 Lindsey Road Kamuela, HI 96743",Hawaii,KAMUELA,65-1224 LINDSEY LN,96743,-155.67295160224347,20.023980129684865,,
on-farm market,"Apr 18th, 2022",default-onfarmmarket-4-3.jpg,700127,Hilo Coffee Mill Market @ The Mill,,Jeanette Baysa,hcmcoffee@msn.com,808-968-1333,www.hilocoffeemill.com,https://www.facebook.com/hcmcoffee,www.twitter.com/hilocoffeemill,,,,,"17-995 Volcano Rd, Mountain View, Hawaii 96771",Hawaii,Mountain View,17-995 Volcano Rd,96771,-155.08852,19.564663,,
on-farm market,"Jan 27th, 2021",default-onfarmmarket-4-3.jpg,701578,Kahumana Farms & Caf Market,,Saleh Azizi,sazizi@asi-hawaii.org,8083835224,www.kahumana.org,facebook.com/kahumanafarms/,www.kahumana.org,,,,,"86-660 lualualei homestead road, Wai\'anae, Hawaii 96792",Hawaii,Wai\'anae,86-660 lualualei homestead road,96792,-158.15596,21.440047,,
on-farm market,"Jul 30th, 2014",default-onfarmmarket-4-3.jpg,700278,Love Family Farms,,Ken and Margy Love,ken@mycoffee.net,808-323-2417,http://www.hawaiifruit.net,,,,,,,"81-639994 lilikalani, Captain Cook, Hawaii 96704",Hawaii,Captain Cook,81-639994 lilikalani,96704,-155.92097,19.499856,,
on-farm market,"Sep 30th, 2014",default-onfarmmarket-4-3.jpg,700204,Edge of the World,,Dr. Kurt Weigelt,weigelt@aloha.net,(808) 328-7424,www.konaedge.com,,,,,,,"82-5889 Old Government Rd., Captain Cook, Hawaii 96704",Hawaii,Captain Cook,82-5889 Old Government Rd.,96704,-155.89835,19.477671,,
