Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
farmers market,"Apr 17th, 2020",default-farmersmarket-4-3.jpg,301083,Marlette Farmers Market,,Lisa Kenny,marlettefarmersmarket@gmail.com,9896357448,http://www.cityofmarlette.com/2216/Marlette-Farmers-Market,http://www.facebook.com/marlettefarmersmarket,,,,,,"3048 Main Street, Marlette, Michigan 48453",Michigan,Marlette,3048 Main Street,48453,-83.080532,43.327346,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Dry beans, Eggs, Fresh/dried herbs, Honey, Maple products, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Apr 20th, 2020",default-farmersmarket-4-3.jpg,300144,Saline Farmers Market,,Jodi Hilberer,salinefarmersmarket@gmail.com,734-681-0860,www.cityofsaline.org/farmersmarket,https://www.facebook.com/pages/Saline-Farmers-Market/199592293395735,,,,,,"S. Ann Arbor Street, Saline, Michigan 48176",Michigan,Saline,S. Ann Arbor Street,48176,-83.781146,42.165956,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Maple products, Nursery stock, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Apr 20th, 2020",default-farmersmarket-4-3.jpg,300145,Saline Farmers Market,,Jodi Hilberer,salinefarmersmarket@gmail.com,734-681-0860,www.cityofsaline.org/farmersmarket,https://www.facebook.com/pages/Saline-Farmers-Market/199592293395735,,,,,,"7265 Saline Ann Arbor Road, Saline, Michigan 48176",Michigan,Saline,7265 Saline Ann Arbor Road,48176,-83.785094,42.179728,November to December,"Fresh vegetables, Baked goods, Coffee/tea, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Honey, Maple products, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Apr 21st, 2022",default-farmersmarket-4-3.jpg,300808,Plainfield Township Farmers Market Hale,,Cheryl McDonell,cdmcdonell@gmail.com,5867478767,,,,,,,,"220 West Washington, Hale, Michigan 48739",Michigan,Hale,220 West Washington,48739,-83.804474,44.380388,May to September,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Eggs, Honey, Maple products, Soap/body care products"
farmers market,"Apr 7th, 2022",farmersmarket_301489_12266_20220407161153.png,301489,Battle Creek Farmers Market,"With a focus on Michigan grown and Michigan made foods, the Battle Creek Farmers Market is a great place to find fresh and flavor packed local foods from Michigan businesses. Non-food businesses are also welcome. The Market is held in Festival Market Square in downtown Battle Creek on Wednesday, 9-1, beginning in May and ending in October. Customers will find a family friendly market with a good variety of variety of vendors. Vendors will find a well managed and vendor friendly market. An open air marketplace under a pavilion offers picnic tables, restrooms onsite and free 1-hour parking for customers in the Hamblin Avenue ramp. Live music and other activities make summer fun at the farmers market. BCFM participates in Bridge Card (SNAP), Double Up Food Bucks, Senior Market FRESH, WIC Project FRESH, NHBP Elders Nutrition Program. Payment with cash, Credit and Debit cards as well a market issued scrip accepted. Contact us for more information. Visit us on Facebook and Instagram, too!",Kelly Walden,kwalden@kelloggarena.com,269-788-1102,https://kelloggarena.com/summer-series/,,,,,,,"25 S McCamly St, Battle Creek, Michigan 49017",Michigan,Battle Creek,25 S McCamly St,49017,-85.185150,42.320090,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Maple products, Mushrooms, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Apr 9th, 2022",default-farmersmarket-4-3.jpg,301505,St. Louis Farmers Market,"Our market strives to be a gathering place for our community members. We offer music, cooking demonstrations, and booth space for non-profit agencies. Part of our mission is to improve access to health food. We offer multiple food assistance programs to help us achieve that goal. Our market is professionally run by  a Certified Farmers Market Manager (Michigan Farmers Market Association).",Linda Bader,stlouisfarmersmarket@gmail.com,9896200448,www.gratiotfarmersmarkets.com/st-louis,www.facebook.com/stlouisfm,,Https://www.instagram.com/stlouisfm,,,,"300 North Mill Street, St. Louis, Michigan 48880",Michigan,St. Louis,300 North Mill Street,48880,-84.608462,43.410742,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Dry beans, Eggs, Fresh/dried herbs, Honey, Maple products, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Aug 8th, 2021",default-farmersmarket-4-3.jpg,301589,New Era Farmers Market,,Sandy Whitaker,SHOPPNQUEEN@HOTMAIL.COM,5172420041,www.neweracrc.org,New Era Farmers Market,,,,,,"1820 Ray Avenue, New Era, Michigan 49446",Michigan,New Era,1820 Ray Avenue,49446,-86.347156,43.559633,June to September,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Eggs, Fresh/dried herbs, Honey, Maple products, Mushrooms, Pet food, Prepared foods, Soap/body care products, Wild harvested forest products"
farmers market,"Aug 8th, 2022",farmersmarket_301754_14254_20220808210353.png,301754,South East Market,Small market sourcing first from BIPOC and women-led businesses and farms.,,manager@southeastmarketgr.com,,https://www.southeastmarketgr.com,https://www.facebook.com/southeastmarketgr,,https://www.instagram.com/southeastmarketgr,,,,"1220 Kalamazoo Avenue Southeast, Grand Rapids, MI, USA",Michigan,Grand Rapids,1220 Kalamazoo Avenue Southeast,49507,-85.64427789999999,42.94075230000001,Year-round,
farmers market,"Feb 19th, 2021",default-farmersmarket-4-3.jpg,301438,Menominee Historic Downtown Farmers Market  Association,,Lucy Pier,menomineehdfarmersmarket@gmail.com,9068638718,http://www.menomineefarmersmarket.com/,https://www.facebook.com/MenomineeFarmersMarket,https://twitter.com/MenoFarmMarket,,,,,"Menominee, Michigan 49858",Michigan,Menominee,,49858,-87.604562,45.107233,June to September,"Fresh fruits, Fresh vegetables, Baked goods, Crafts/woodworking items, Eggs, Fish/seafood, Honey, Maple products, Mushrooms"
farmers market,"Feb 1st, 2021",default-farmersmarket-4-3.jpg,300075,Northport Farmers Market,,Gary Kohlhaas,leelanaufarmersmarkets@gmail.com,231-256-0665,http://www.leelanaufarmersmarkets.com,https://www.facebook.com/leelanaufarmersmarkets/,,,,,,"105 S. Bay Street, Northport, Michigan 49670",Michigan,Northport,105 S. Bay Street,49670,-85.614175,45.129668,June to September,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Maple products, Mushrooms, Nursery stock, Pet food, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
