,fips,relevant_naics,YEAR,estab,emp,payann
1,24,1141,2018,17,8,201
3,24,1133,2018,34,108,3963
5,24,1152,2018,75,303,10378
7,24,1151,2018,10,281,14873
9,24,1153,2018,3,4,168
11,24,2121,2018,5,311,22151
13,24,2123,2018,18,843,51423
16,24,2211,2018,167,8243,1086683
18,24,2212,2018,3,41,3605
20,24,2213,2018,23,268,20562
22,24,2382,2018,3714,55170,3661857
24,24,2383,2018,2319,20008,1083041
26,24,2381,2018,1651,23962,1338952
28,24,2373,2018,148,4678,294369
30,24,2372,2018,70,356,30998
32,24,2362,2018,980,14463,1260813
34,24,2379,2018,76,924,57188
36,24,2389,2018,1022,13811,802561
38,24,2361,2018,3863,16865,1005063
40,24,2371,2018,305,7835,503704
42,24,3111,2018,4,60,2800
44,24,3116,2018,13,626,27224
46,24,3118,2018,184,4279,149787
48,24,3121,2018,109,1999,78220
50,24,3152,2018,14,284,7222
52,24,3115,2018,11,520,29179
54,24,3114,2018,3,11,431
55,24,3112,2018,3,45,3827
57,24,3119,2018,41,2896,192933
59,24,3169,2018,3,11,522
61,24,3149,2018,51,491,21967
63,24,3117,2018,12,162,10517
65,24,3113,2018,22,893,53707
66,24,3133,2018,3,10,304
68,24,3141,2018,13,123,5258
70,24,3251,2018,10,848,83381
72,24,3273,2018,88,2500,148597
74,24,3271,2018,6,13,315
76,24,3222,2018,17,934,49597
78,24,3272,2018,13,193,7862
80,24,3274,2018,3,343,28688
82,24,3259,2018,10,283,15970
84,24,3279,2018,22,434,23820
86,24,3219,2018,62,1913,75364
88,24,3255,2018,4,247,21349
90,24,3253,2018,6,76,4107
92,24,3241,2018,23,826,55870
94,24,3254,2018,31,4490,435995
96,24,3261,2018,79,5263,343022
98,24,3231,2018,361,6850,359425
100,24,3262,2018,6,351,19442
103,24,3256,2018,5,80,7392
104,24,3212,2018,3,85,3290
105,24,3364,2018,3,1494,123852
107,24,3323,2018,127,3363,203470
109,24,3324,2018,3,79,4806
111,24,3328,2018,31,333,16663
113,24,3333,2018,8,203,11476
115,24,3342,2018,34,1872,247444
117,24,3341,2018,7,193,14661
118,24,3351,2018,3,28,1061
120,24,3353,2018,7,296,46287
123,24,3315,2018,4,98,4111
125,24,3371,2018,88,1444,57329
127,24,3332,2018,10,396,24261
129,24,3327,2018,145,2350,132939
131,24,3391,2018,119,1824,125634
133,24,3335,2018,20,603,32975
135,24,3362,2018,3,31,1646
137,24,3363,2018,6,543,36271
139,24,3345,2018,67,10731,1135288
141,24,3372,2018,53,773,44305
143,24,3359,2018,6,366,22798
145,24,3329,2018,5,37,1731
147,24,3379,2018,3,306,15114
149,24,3339,2018,20,1290,75696
151,24,3399,2018,176,2430,117304
153,24,3344,2018,30,1309,78338
155,24,3366,2018,22,217,10241
