Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
farmers market,"Apr 14th, 2022",farmersmarket_301183_11272_20220414131808.png,301183,Troy Waterfront Farmers Market,,Erin Cook,erin.cook@troymarket.org,518-708-4216,troymarket.org,facebook.com/troywaterfrontfarmersmarket,,https://instagram.com/troymarket,,,,"Monument Square, Troy, NY, USA",New York,Troy,Monument Square,12180,-73.6916048,42.73164269999999,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Cut flowers, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Maple products, Mushrooms, Nursery stock, Nuts, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Tofu/non-animal protein, Wild harvested forest products, Wine, spirits, beer, hard cider"
farmers market,"Apr 28th, 2021",default-farmersmarket-4-3.jpg,301497,Pleasantville Farmers Market - Outdoor,,Steven Bates,steven@pleasantvillefarmersmarket.org,9142054545,https://www.pleasantvillefarmersmarket.org/,https://www.facebook.com/PvilleFarmMarket,,,,,,"Memorial Plaza (next to the train station), Pleasantville, New York 10570",New York,Pleasantville,Memorial Plaza,10570,-73.793652,41.135051,April to November,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Maple products, Mushrooms, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products, Wine, spirits, beer, hard cider"
farmers market,"Apr 6th, 2020",default-farmersmarket-4-3.jpg,301072,Clinton Farmers Market,,Jackie Walters,info@clintonnychamber.org,3158531735,https://clintonnychamber.org/farmers-market/,https://www.facebook.com/ClintonNYFarmersMarket/,,,,,,"20 West Park Row, Clinton, New York 13323",New York,Clinton,20 West Park Row,13323,-75.378462,43.048866,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Dry beans, Eggs, Fresh/dried herbs, Honey, Maple products, Mushrooms, Nursery stock, Nuts, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products"
farmers market,"Aug 11th, 2020",default-farmersmarket-4-3.jpg,301217,Narrowsburg Farmers' Market,,Greg Swartz,info@narrowsburgfarmersmarket.org,570-982-0050,https://narrowsburgfarmersmarket.org/,https://www.facebook.com/narrowsburgfarmmarket/,,,,,,"7 Erie Avenue, Narrowsburg, New York 12764",New York,Narrowsburg,7 Erie Avenue,12764,-75.05512,41.596136,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Cut flowers, Dairy products., Eggs, Honey, Mushrooms, Prepared foods, Red/other non-poultry meat and products, Wine, spirits, beer, hard cider"
farmers market,"Aug 18th, 2022",farmersmarket_301759_14271_20220818190450.png,301759,Canton Farmers Market,"Opening day Friday, May 27, 2022. Come out and see the vendors. Check out our Facebook page for regular updates.",Kathryn Puleo,kathryn@gardenshare.org,(315) 261-8054,,https://www.facebook.com/CantonNYFarmersMarket,,https://www.instagram.com/cantonnyfarmersmarket/,,,,"5 Park Street, Canton, NY 13617, USA",New York,Canton,5 Park Street,13617,-75.1689911,44.5953267,05/27/2022 to 10/28/2022,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Maple products, Poultry/fowl meat and products, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Aug 3rd, 2020",default-farmersmarket-4-3.jpg,300873,Seneca Falls Farmers Market,,Greg Zellers,senecamarket@gmail.com,315-338-4359,http://senecamarket.com,https://www.facebook.com/SenecaFallsFarmersMarket/,,,,,,"15 Water Street, Seneca Falls, New York 13148",New York,Seneca Falls,15 Water Street,13148,-76.800314,42.909109,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Honey, Maple products, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Aug 3rd, 2020",default-farmersmarket-4-3.jpg,301194,Waterloo Rotary Farm Market,,Dan Grillone,dan.grillone@yahoo.com,813-382-0889,,https://www.facebook.com/rotaryfarmarket,,,,,,"22 Locust Street, Waterloo, New York 13165",New York,Waterloo,22 Locust Street,13165,-76.865814,42.903737,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Honey, Maple products"
farmers market,"Aug 3rd, 2020",default-farmersmarket-4-3.jpg,301196,Ovid Farmers Market,,Patti Paine,pap11@cornell.edu,315-539-9251,,https://www.facebook.com/ovidfarmersmarket,,,,,,"Main Street, Ovid, New York 14521",New York,Ovid,Main Street,14521,-76.822157,42.676729,June to September,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Eggs, Honey, Maple products"
farmers market,"Dec 28th, 2020",default-farmersmarket-4-3.jpg,300053,Salamanca Farmers market,,Rachael Ferguson,rferguson2011@yahoo.com,7168608419,,,,,,,,"768 Broad st, Salamanca, New York 14779",New York,Salamanca,768 Broad st,14779,-78.741263,42.164734,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Eggs, Honey, Maple products, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Feb 1st, 2021",default-farmersmarket-4-3.jpg,300013,Alexandria Bay Farmers Market,,Chamber of Commerce,info@alexbay.org,315-482-9531,www.visitalexbay.org,https://www.facebook.com/pages/Alexandria-Bay-Chamber-of-Commerce/82504121853,,,,,,"Route 12, Alexandria Bay, New York 13607",New York,Alexandria Bay,Route 12,13607,-75.916118,44.331171,May to September,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Eggs, Honey, Maple products"
