Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
30548,00,385,1,73262,2
30548,00,281,210,0,2
30548,00,52,220,0,2
30548,00,32,230,0,2
30548,00,17,241,0,2
30548,23,76,1,0,2
30548,23,60,210,0,2
30548,23,10,220,0,2
30548,23,6,230,0,2
30548,31-33,17,1,0,2
30548,31-33,8,210,0,2
30548,31-33,5,230,0,2
30548,42,25,1,0,2
30548,42,18,210,0,2
30548,42,3,220,0,2
30548,44-45,39,1,0,2
30548,44-45,22,210,0,2
30548,44-45,9,220,0,2
30548,44-45,5,230,0,2
30548,48-49,15,1,0,2
30548,48-49,12,210,0,2
30548,48-49,3,220,0,2
30548,51,7,1,0,2
30548,51,7,210,0,2
30548,52,13,1,0,2
30548,52,13,210,0,2
30548,53,24,1,0,2
30548,53,23,210,0,2
30548,54,56,1,0,2
30548,54,52,210,0,2
30548,56,29,1,0,2
30548,56,19,210,0,2
30548,56,5,220,0,2
30548,56,3,230,0,2
30548,61,4,1,0,2
30548,61,4,210,0,2
30548,62,27,1,0,2
30548,62,15,210,0,2
30548,62,5,220,0,2
30548,62,4,230,0,2
30548,71,4,1,0,2
30548,72,12,1,0,2
30548,72,4,210,0,2
30548,72,3,230,0,2
30548,72,4,241,0,2
30548,81,36,1,0,2
30548,81,22,210,0,2
30548,81,10,220,0,2
