Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
27379,52,7,1,0,2
27379,52,4,220,0,2
27379,54,6,1,0,2
27379,54,5,210,0,2
27379,56,3,1,0,2
27379,56,3,210,0,2
27379,62,19,1,0,2
27379,62,4,210,0,2
27379,62,8,220,0,2
27379,62,4,230,0,2
27379,72,10,1,0,2
27379,72,4,210,0,2
27379,81,13,1,0,2
27379,81,11,210,0,2
27379,00,97,1,24277,2
27379,00,52,210,0,2
27379,00,26,220,0,2
27379,00,10,230,0,2
27379,00,6,241,0,2
27379,23,5,1,0,2
27379,23,5,210,0,2
27379,44-45,24,1,0,2
27379,44-45,13,210,0,2
27379,44-45,7,220,0,2
