Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
30529,00,49,241,0,2
30529,00,408,1,171122,2
30529,00,168,210,0,2
30529,00,97,220,0,2
30529,00,72,230,0,2
30529,00,12,242,0,2
30529,00,7,251,0,2
30529,23,4,220,0,2
30529,00,3,252,0,2
30529,23,19,1,0,2
30529,23,13,210,0,2
30529,31-33,15,1,0,2
30529,31-33,5,210,0,2
30529,31-33,3,220,0,2
30529,42,11,1,0,2
30529,42,5,210,0,2
30529,42,4,220,0,2
30529,44-45,142,1,0,2
30529,44-45,43,210,0,2
30529,44-45,40,220,0,2
30529,44-45,35,230,0,2
30529,44-45,16,241,0,2
30529,44-45,5,242,0,2
30529,48-49,9,1,0,2
30529,48-49,5,210,0,2
30529,51,13,1,0,2
30529,51,7,210,0,2
30529,51,3,220,0,2
30529,52,24,1,0,2
30529,52,13,210,0,2
30529,52,10,220,0,2
30529,53,9,1,0,2
30529,53,6,210,0,2
30529,54,17,1,0,2
30529,54,11,210,0,2
30529,54,4,230,0,2
30529,56,9,1,0,2
30529,56,5,210,0,2
30529,62,40,1,0,2
30529,62,13,210,0,2
30529,62,12,220,0,2
30529,62,7,230,0,2
30529,62,6,241,0,2
30529,71,5,1,0,2
30529,72,56,1,0,2
30529,72,16,210,0,2
30529,72,6,220,0,2
30529,72,11,230,0,2
30529,72,18,241,0,2
30529,72,4,242,0,2
30529,81,35,1,0,2
30529,81,23,210,0,2
30529,81,9,220,0,2
