,fips,relevant_naics,YEAR,estab,emp,payann
1,47,11,2018,183,1506,49803
3,47,21,2018,129,2228,140025
5,47,22,2018,72,1303,109220
7,47,23,2018,10303,115630,6376578
9,47,42,2018,6590,116816,7450240
11,47,51,2018,2824,48537,3055835
13,47,52,2018,9914,118697,9700113
15,47,53,2018,6098,36819,1853110
17,47,54,2018,11356,114472,8273502
19,47,55,2018,1472,91114,9575085
21,47,56,2018,7060,213598,7167702
23,47,61,2018,1381,65461,2376754
25,47,62,2018,15880,416821,21506377
27,47,71,2018,2763,40205,1930236
29,47,72,2018,13720,297914,5362638
31,47,81,2018,14505,114269,3358350
33,47,99,2018,167,223,6656
